StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_id,birth_year,gender,race,hispanic,attention_check_1,politics,education,care_1,fairness_1,loyalty_1,authority_1,purity_1,efficiency_1,null_1,care_2,fairness_2,loyalty_2,authority_2,purity_2,efficiency_2,care_3,fairness_3,loyalty_3,authority_3,purity_3,efficiency_3,care_4,fairness_4,loyalty_4,authority_4,purity_4,efficiency_4,null_2,care_5,fairness_5,loyalty_5,authority_5,purity_5,efficiency_5,care_6,fairness_6,loyalty_6,authority_6,purity_6,efficiency_6,rides_diversity,SAT_diversity,health_shareholders,profit_local,election_corporate
2023-07-17 14:34:31,2023-07-17 14:44:15,IP Address,76.198.204.106,100,583,True,2023-07-17 14:44:15,R_1DV8NRiIpvwtK8f,,,,,29.4411,-98.4936,anonymous,EN,,2007,Female,White or Caucasian,No,Option 3,Democrat,Some high school or less,3,2,3,2,1,3,1,5,4,3,3,4,3,5,5,4,3,2,3,5,4,3,3,3,3,4,5,3,2,2,1,2,4,2,1,3,3,2,"730 people avoid jail (30% Black, 70% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:25:45,2023-07-17 14:47:45,IP Address,169.231.39.5,100,1320,True,2023-07-17 14:47:46,R_1ey5JiVCvQbQsJd,,,,,34.4265,-119.8631,anonymous,EN,,2006,Male,Asian and Pacific Island,No,Option 3,Independent,Some high school or less,5,4,0,3,5,3,0,5,4,5,2,3,3,5,4,4,4,1,0,5,5,1,4,2,2,5,5,4,3,0,4,0,3,3,3,1,0,0,"710 people avoid jail (50% Black, 50% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:31:12,2023-07-17 14:52:10,IP Address,24.13.228.4,100,1257,True,2023-07-17 14:52:10,R_2Qns3YeXYeCsAqr,,,,,42.1047,-87.7566,anonymous,EN,,1997,Female,Asian and Pacific Island,No,Option 3,Democrat,Bachelor's degree,4,3,1,1,0,2,0,3,3,4,3,2,0,4,5,3,3,0,0,4,4,0,4,5,1,5,5,5,2,2,3,2,0,1,2,4,2,1,"620 people avoid jail (70% Black, 30% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:44:49,2023-07-17 14:54:04,IP Address,172.58.88.194,100,554,True,2023-07-17 14:54:04,R_1M3YNOJ2UHzeKFF,,,,,37.7809,-122.4245,anonymous,EN,,2006,Female,Asian and Pacific Island,No,Option 3,Other,Some high school or less,3,4,1,2,3,4,0,4,5,4,1,2,2,4,5,3,1,0,2,3,4,4,3,3,3,5,3,4,4,2,0,2,4,2,0,5,0,3,"680 people avoid jail (10% Black, 90% White)","Avg. SAT: 1300, Diversity: 30% underrepresented minority students","Shareholder Payout: $100 million, Number of People Who Receive Affordable Care: 5,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:48:30,2023-07-17 14:56:55,IP Address,104.9.127.190,100,505,True,2023-07-17 14:56:55,R_1QzP0s42A2a5cZG,,,,,37.5742,-122.325,anonymous,EN,,2009,Male,White or Caucasian,No,Option 3,Democrat,Some high school or less,3,4,2,3,4,3,0,3,3,2,2,2,3,4,4,3,2,2,2,4,4,2,4,3,3,5,3,2,4,3,5,4,5,3,2,5,3,3,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 70%, Corporate control: 80%"
2023-07-17 14:44:32,2023-07-17 15:00:01,IP Address,76.95.245.8,100,928,True,2023-07-17 15:00:02,R_2Bgnw0JY1GXyt02,,,,,34.0544,-118.2441,anonymous,EN,,1997,Female,White or Caucasian,No,Option 3,Independent,Bachelor's degree,3,4,0,2,2,0,0,3,3,3,2,4,1,5,5,3,4,0,2,3,5,0,3,4,1,5,5,3,2,0,1,1,4,2,1,3,1,3,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1300, Diversity: 30% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:46:47,2023-07-17 15:00:04,IP Address,108.228.9.232,100,796,True,2023-07-17 15:00:04,R_6riJtlFu6iHSxMt,,,,,37.4446,-122.1835,anonymous,EN,,2009,Male,Asian and Pacific Island,No,Option 3,Democrat,Some high school or less,4,4,2,5,3,1,0,2,5,4,1,0,0,2,3,2,3,0,1,4,4,4,4,3,3,5,2,3,4,2,0,3,3,3,2,4,4,2,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:46:49,2023-07-17 15:00:38,IP Address,169.231.46.36,100,829,True,2023-07-17 15:00:38,R_1LTdzpSf4y8hLeW,,,,,34.4265,-119.8631,anonymous,EN,n/a,2005,Female,Asian and Pacific Island,No,Option 3,Democrat,Some high school or less,5,3,0,1,4,2,0,5,5,5,0,3,1,4,5,3,1,0,1,4,4,0,4,2,1,4,4,4,2,0,2,3,5,2,2,3,1,1,"520 people avoid jail (90% Black, 10% White)","Avg. SAT: 1300, Diversity: 30% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:49:03,2023-07-17 15:01:44,IP Address,169.231.120.56,100,761,True,2023-07-17 15:01:45,R_2fqGG1qQXfVKx32,,,,,34.4265,-119.8631,anonymous,EN,,2007,Male,Asian and Pacific Island,No,Option 3,Republican,Some high school or less,1,4,0,2,1,3,4,4,3,5,0,3,2,4,5,3,3,1,2,2,0,4,0,2,4,5,3,1,1,5,3,4,0,1,3,1,5,4,"730 people avoid jail (30% Black, 70% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Shareholder Payout: $100 million, Number of People Who Receive Affordable Care: 5,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:47:15,2023-07-17 15:03:39,IP Address,169.231.99.67,100,984,True,2023-07-17 15:03:39,R_12KEJmQP5I74HS0,,,,,34.4216,-119.7068,anonymous,EN,-,2006,Male,Asian and Pacific Island,No,Option 3,Other,Some high school or less,4,3,0,1,2,1,0,2,3,3,1,1,1,4,5,3,3,1,0,3,3,2,3,2,4,4,2,3,2,1,2,3,4,3,2,3,0,2,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1390, Diversity: 15% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:52:38,2023-07-17 15:04:00,IP Address,67.188.80.110,100,681,True,2023-07-17 15:04:01,R_XNCCpTl2y1OmKNr,,,,,37.4651,-122.143,anonymous,EN,,2007,Female,White or Caucasian,No,Option 3,Independent,Some high school or less,4,3,2,3,4,2,0,5,4,3,4,5,1,5,5,3,4,5,3,5,4,4,5,5,3,5,3,3,3,4,3,2,3,0,4,4,5,3,"730 people avoid jail (30% Black, 70% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:52:45,2023-07-17 15:04:39,IP Address,169.231.220.171,100,714,True,2023-07-17 15:04:40,R_Ck1Fsf3VgV1l7zz,,,,,34.4265,-119.8631,anonymous,EN,Not from prolific,2006,Female,Asian and Pacific Island,No,Option 3,Democrat,Some high school or less,2,3,1,3,3,0,0,4,4,3,1,0,0,5,4,3,1,0,0,2,4,1,3,1,4,5,2,4,3,2,1,2,3,3,1,3,0,1,"730 people avoid jail (30% Black, 70% White)","Avg. SAT: 1390, Diversity: 15% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:56:47,2023-07-17 15:07:08,IP Address,169.231.181.163,100,621,True,2023-07-17 15:07:09,R_23Hvsx4Pm5tm0kF,,,,,34.4265,-119.8631,anonymous,EN,,2007,Female,Asian and Pacific Island,No,Option 3,Democrat,Some high school or less,4,4,1,4,1,3,0,3,4,3,0,3,2,5,5,4,4,0,1,2,5,1,4,3,1,5,3,5,2,2,1,3,5,4,1,3,0,1,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:57:22,2023-07-17 15:07:26,IP Address,169.231.178.248,100,604,True,2023-07-17 15:07:27,R_1KsdkwsjrDZvgFj,,,,,34.4265,-119.8631,anonymous,EN,,2008,Male,Asian and Pacific Island,No,Option 3,Republican,Some high school or less,2,2,3,3,2,2,2,3,1,4,4,3,2,3,3,2,3,1,2,2,5,5,4,1,3,3,1,1,3,4,5,1,1,2,4,4,3,2,"730 people avoid jail (30% Black, 70% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 15:03:55,2023-07-17 15:09:30,IP Address,169.231.211.76,100,334,True,2023-07-17 15:09:30,R_1lbFHbksFWX5Iti,,,,,34.1531,-118.4296,anonymous,EN,,2006,Male,Asian and Pacific Island,No,Option 3,Independent,Some high school or less,1,1,1,0,3,0,0,2,2,3,2,1,3,4,1,2,1,0,2,2,0,2,4,2,3,2,4,3,2,2,2,3,0,1,0,2,0,2,"730 people avoid jail (30% Black, 70% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $80 million, Care: 15,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 80%, Corporate control: 100%"
2023-07-17 14:40:53,2023-07-17 15:13:46,IP Address,169.231.179.171,100,1973,True,2023-07-17 15:13:47,R_2PvV9xHXLhA9tDw,,,,,34.4265,-119.8631,anonymous,EN,,2007,Female,White or Caucasian,No,Option 3,Independent,Some high school or less,3,3,0,4,4,4,0,2,1,3,2,4,3,4,5,2,3,0,2,3,5,2,2,3,3,5,4,2,2,0,1,1,4,3,3,2,1,1,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 70%, Corporate control: 80%"
2023-07-17 14:50:12,2023-07-17 15:16:30,IP Address,87.102.173.85,100,1577,True,2023-07-17 15:16:30,R_DiaC7JL8z15EWEV,,,,,47.523,7.6477,anonymous,EN,,2006,Female,White or Caucasian,No,Option 3,Democrat,Some high school or less,4,3,2,2,1,3,0,3,3,3,2,1,2,4,4,2,3,0,3,3,4,2,3,2,3,4,0,3,2,1,2,3,4,3,1,2,0,1,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 50%, Corporate control: 40%"
