Unnamed: 0.1,Unnamed: 0,Pref. explanation,Birth year,Gender,Race,Political aff.,Education,Income,choice,efficiency.virtue,efficiency.vice,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.virtue,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,care.vice,Fairness,Loyalty,Authority,Sanctity,Care,Efficiency,word_count
11,11,"Tough choice between C and D, I chose C since it kept the second most people out of jail while matching the city's racial demographics",1994.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$100,000 to $149,999",Option C,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.04,0.0,0.04,25
12,12,"Because black residents have to pay more, that means they will be less likely to afford the ride, and need more assistance. The white residents are more likely to be able to get to the courthouse via cheaper methods. As well, the numbers of amount of people it helped avoid jail I feel wouldn't be correct in a realistic scenario, Option B felt like it would actually prevent more people going to jail in real life application.",1994.0,Woman,White or Caucasian,Independent,Associates or technical degree,"$30,000 to $39,999",Option D,7,0,0,1,0,0,2,0,0,0,0,0,0.0,0.012987012987012988,0.0,0.0,0.025974025974025976,0.09090909090909091,77
13,13,"I really didn't understand the math here, so 50% seemed to make the most sense.",2000.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$100,000 to $149,999",Option C,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,15
14,14,Black people live further from the courthouse so need more money,1994.0,Woman,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option D,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,11
15,15,I think more should be given to  the people who live farther away since they have a harder time getting there,1988.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999",Option D,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,21
16,16,"Since it's more expensive for black people who live farther away, I think they should have a fair amount more funding and more people to go versus white people who are less costly. ",1975.0,Woman,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option D,4,1,1,0,0,0,0,0,0,0,0,0,0.030303030303030304,0.0,0.0,0.0,0.0,0.15151515151515152,33
17,17,It is the most equal option.,1990.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option C,1,0,1,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,6
18,18,It prevented the most jail time,1989.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$20,000 to $29,999",Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,6
19,19,It helps the largest amount of people avoid jail time.,1990.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999",Option B,2,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.2,10
20,20,Racial discrimination makes it so this racial demographic needs more aid for the service.,1994.0,Man,Prefer not to say,Democrat,"Some college, but no degree",Prefer not to say,Option E,1,0,0,1,0,0,0,1,0,0,0,0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,14
21,21,I actually prefer the option that keeps more people out of jail.  But the avoid conflict with the residents I picked the option that represented the 50/50 population of the city,1961.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$50,000 to $59,999",Option C,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,31
22,22,It is the fairest distribution option,1983.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$150,000 or more",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,6
23,23,It seemed the most fair,2000.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999",Option C,1,0,1,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.2,5
24,24,The most people avoid jail.,1996.0,Woman,White or Caucasian,Independent,Bachelor’s degree,Prefer not to say,Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,5
25,25,It helped the most disadvantaged group while still avoiding prison time for a good number of people.,,Man,"White or Caucasian,Black or African American",Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option D,2,0,0,1,0,0,2,1,0,0,0,0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.11764705882352941,0.11764705882352941,17
26,26,Because it would cost more for a Black person to make a round trip ride to court. So the people that live further away should get the majority of the allotted money ,1972.0,Woman,White or Caucasian,Democrat,Associates or technical degree,"$20,000 to $29,999",Option D,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09375,32
27,27,Whites are cheaper and could walk if needed blacks cost more and don't have options to walk. ,1983.0,Woman,White or Caucasian,Republican,"Some college, but no degree","$50,000 to $59,999",Option D,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,17
28,28,"both races should have the same opportunities, however, since it's more expensive for the Black people, I think the percentage of help should be higher.",1965.0,Woman,White or Caucasian,Independent,"Some college, but no degree","$100,000 to $149,999",Option D,2,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.04,0.04,0.08,25
29,29,"I chose option D, because even though the money wasn't evenly distributed between white and black people, the results are the most people avoiding prison. ",1996.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$20,000 to $29,999",Option B,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,25
30,30,It's more evenly split,1989.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$90,000 to $99,999",Option C,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,4
31,31,I weighed the balance of distance vs. number of people who would avoid jail.,1969.0,Woman,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option C,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,14
32,32,"Because it is more racially fair. If the city court demands that blacks from further away show up or go to jail, then more should be allocated towards them",1989.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$10,000 to $19,999",Option D,2,0,1,2,0,0,0,0,0,0,0,0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.06896551724137931,29
33,33,Because it would offer less jail time for the individuals and helps them to get to and from court.,1989.0,Man,American Indian/Native American or Alaska Native,No preference,High school diploma or GED,"$40,000 to $49,999",Option B,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,19
34,34,It provides more funding to the higher cost group but doesn't leave out the less costly group. ,1997.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$50,000 to $59,999",Option D,2,1,0,1,0,0,0,0,0,0,0,0,0.0,0.058823529411764705,0.0,0.0,0.0,0.17647058823529413,17
35,35,"I chose this scenario to benefit a more underserved population, but also trying to benefit others, as well.",1968.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$30,000 to $39,999",Option D,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,18
36,36,I chose Option B since it would help the most number of people avoid jail out of all the options.,1977.0,Woman,Asian,No preference,Bachelor’s degree,"$100,000 to $149,999",Option B,2,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.05,0.05,0.1,20
37,37,"I think it's the allocation that accounts for the price difference in rides the most - it helps Black people more because their rides are more expensive, but also helps white people a substantial amount.",1991.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$10,000 to $19,999",Option D,4,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05714285714285714,0.11428571428571428,35
38,38,Less jail,1981.0,Man,White or Caucasian,No preference,Bachelor’s degree,"$90,000 to $99,999",Option B,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
39,39,I tried to be fair.,1988.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$10,000 to $19,999",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,5
40,40,Everyone should have an equal opportunity regardless of race.,1974.0,Man,White or Caucasian,Republican,"Some college, but no degree","$150,000 or more",Option C,0,0,1,1,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,9
41,41,"The prospect of going to jail is udevastating whether you live close to the courthouse or further away. Unless those living closer had alternative means of transportation, their needs should be considered equally; race not withstanding.",1948.0,Man,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999",Option C,0,0,1,1,0,0,0,0,0,0,0,0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,36
42,42,"Giving 50% to each group seems like a fair way to allocate, given neither group is more or less deserving. It also results in a relatively high number of cases avoiding jail.",1964.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$100,000 to $149,999",Option C,3,0,1,1,0,0,0,0,0,0,0,0,0.03125,0.03125,0.0,0.0,0.0,0.09375,32
43,43,It kept the most people out of jail.,1990.0,Man,White or Caucasian,Democrat,Associates or technical degree,"$80,000 to $89,999",Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.125,8
44,44,Black people are further away ,1984.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$50,000 to $59,999",Option E,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
45,45,Less peeps in jail,1967.0,Man,White or Caucasian,Republican,Associates or technical degree,"$100,000 to $149,999",Option B,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4
46,46,"Though a difference of 20 people is statistically similar, those are 20 extra, real people that would go to jail. However, I chose the option for 50/50 representation, resulting in 710 people avoiding jail rather than 30/70 preventing 730 people from going to jail, since the makeup of the people avoiding jail would be more evenly distributed.",1996.0,Man,Asian,Democrat,Bachelor’s degree,"$70,000 to $79,999",Option C,2,0,0,1,0,0,0,0,0,0,2,0,0.0,0.017543859649122806,0.0,0.03508771929824561,0.0,0.03508771929824561,57
47,47,it had more people avoiding jail,1977.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$100,000 to $149,999",Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,6
48,48,I picked the one that allowed equal amount of black and white people rides,1984.0,Man,Asian,Independent,Bachelor’s degree,"$30,000 to $39,999",Option C,1,0,1,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,14
49,49,I think black people need more help and are less likely to get a break from a judge than white people.,1974.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$90,000 to $99,999",Option D,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,21
50,50,I chose to help those who needed the help more.,1991.0,Woman,Black or African American,No preference,"Some college, but no degree","$50,000 to $59,999",Option E,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.1,10
51,51,I went off my gut feelings,2001.0,Man,White or Caucasian,Independent,Associates or technical degree,"$70,000 to $79,999",Option D,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6
52,52,It is the route that helps the most people avoid jailtime.,1986.0,Woman,White or Caucasian,Democrat,High school diploma or GED,"$50,000 to $59,999",Option B,1,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,11
53,53,I just chose equal 50/50 because everything is so racial nowadays that this way one group can't say they were left out due to race,1966.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$70,000 to $79,999",Option C,0,0,1,1,0,0,0,0,0,0,0,0,0.04,0.04,0.0,0.0,0.0,0.0,25
54,54,I guessed,1996.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999",Option C,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
55,55,It's the most fair between races and is the second best option in terms of net people. I didn't want to pick the option that gave more money to white individuals because of the black community's history with excessive incarcaration.,1996.0,Non-binary,Asian,Democrat,Bachelor’s degree,"$90,000 to $99,999",Option C,3,0,1,2,0,0,0,0,0,0,1,0,0.025,0.05,0.0,0.025,0.0,0.075,40
56,56,The distribution is equal between white and black people,1980.0,Man,White or Caucasian,Independent,Associates or technical degree,"$60,000 to $69,999",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9
57,57,Less jail time for people ,1986.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999",Option E,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
58,58,Because it's needed for who are typically farther from the courthouse,1999.0,Man,"White or Caucasian,Black or African American",Democrat,"Some college, but no degree","$10,000 to $19,999",Option D,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,11
59,59,"I felt like Blacks needed a larger allocation for it to be equitable due to the cost of the ride, but I wanted to also take into consideration the # of people freed. I picked C b/c it was a balance of both. I'm not sure I followed the logic of the how the allocation amt impacted the # freed though.",1975.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option C,0,1,1,0,0,0,0,0,0,0,1,0,0.01639344262295082,0.0,0.0,0.01639344262295082,0.0,0.01639344262295082,61
60,60,It seemed fair,1999.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999",Option D,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3
61,61,It seems more even and more fair.,1998.0,Non-binary,White or Caucasian,Democrat,High school diploma or GED,"$20,000 to $29,999",Option C,1,0,1,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,7
62,62,It is the most fair without favoring one over the other and still provides a high amount of people that avoid jail.,1978.0,Woman,White or Caucasian,Democrat,High school diploma or GED,"Less than $10,000",Option C,2,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.0,0.0,0.0,0.0,0.09090909090909091,22
63,63,It was the most even and close to the most amount of people avoiding jail. ,1983.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$70,000 to $79,999",Option C,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,15
64,64,Chose highest total avoiding jailtime,1965.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999",Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,5
65,65,"It looked like that was the highest amount of people who would avoid jail. Now, I know there was less for the black population in terms of resources but I didn't have enough information to figure out questions I had. ",1969.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999",Option B,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.075,40
66,66,Managing people avoiding jail with socioeconomic status ,1998.0,Prefer not to say,Prefer not to say,Democrat,Prefer not to say,Prefer not to say,Option C,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7
67,67,It was the highest amount of people that would avoid jail time,1970.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$80,000 to $89,999",Option B,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,12
68,68,This will allow everyone to get to court fairly,1988.0,Man,Black or African American,Democrat,Bachelor’s degree,"$40,000 to $49,999",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9
69,69,50/50 seemed fair and it got the second most people to avoid jail,1999.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$60,000 to $69,999",Option C,1,0,1,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,13
70,70,Becuase thats the one i think is the best choice ,1997.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$30,000 to $39,999",Option B,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10
71,71,"Everyone is equal regardless of color, race, or beliefs.",1984.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$100,000 to $149,999",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9
72,72,Both should be equAL,1977.0,Woman,Black or African American,Democrat,Bachelor’s degree,"$70,000 to $79,999",Option C,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4
73,73,Because it costs more for black people I wanted to make sure they were allocated that extra amount to offset that,1998.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$80,000 to $89,999",Option D,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,21
74,74,The money is distributed evenly and prevents a large number of people from going to jail ,1968.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$150,000 or more",Option C,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.125,16
75,75,"I want as few people avoiding jail as possilbe.  Do the crime, do the time",1974.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$150,000 or more",Option E,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15
76,76,Because unlike the judicial system it's equal,1979.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$50,000 to $59,999",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,7
77,77,"It seemed the most fair, with helping the most people but not being inequitable by favoring white people.",1984.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"Less than $10,000",Option C,1,0,2,0,0,0,2,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,18
78,78,Black people need more assistance ,1999.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999",Option D,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,5
79,79,"A 50-50 split seemed the fairest to me with the end result helping 710 people stay out of jail from both communities, which although wasn't the highest figure was close to the top. ",1973.0,Man,Asian,Democrat,Bachelor’s degree,"$90,000 to $99,999",Option C,1,0,1,1,0,0,2,0,0,0,0,0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.06060606060606061,0.030303030303030304,33
80,80,"Black people have been the victims of systemic racism for far too long, so I chose the scenario that gave Black people the most help.",1983.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999",Option D,1,0,0,0,0,0,1,1,0,0,0,2,0.04,0.0,0.0,0.0,0.12,0.04,25
81,81,To give those who have to pay more additional assistance,1976.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$150,000 or more",Option D,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,10
82,82,"This was a tough choice.  Keeping maximal people out of jail is important, but there are systemic inequities that make it more likely for black people to need to go to court.  I opted for a choice that balances maximizing the total people kept jail-free, with my desire to redress inequities.",1963.0,Man,White or Caucasian,Independent,"Some college, but no degree","$20,000 to $29,999",Option D,2,0,1,0,0,0,0,1,0,0,0,0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0392156862745098,51
83,83,"The option I chose was a compromise: it split the funds 50/50 which seemed somewhat fair, and prevented a fairly large number of people from going to jail.",1982.0,Woman,White or Caucasian,Democrat,"Some college, but no degree",Prefer not to say,Option C,1,0,1,0,0,0,0,0,0,0,0,0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,28
84,84,most that avoid jail time by showing up,1955.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$100,000 to $149,999",Option C,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.125,8
85,85,I believe it should be fair across the board no matter where you live ,1966.0,Woman,White or Caucasian,Republican,High school diploma or GED,"$150,000 or more",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,14
86,86,It was the obvious choice considering the information provided. Allocate more to people who need it more. ,1965.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999",Option D,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,17
87,87,It is more expensive to black people so I would allocate more funds for them. But white people also may need help to get to jail so I leece some funds for them as well ,1962.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999",Option D,3,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02857142857142857,0.08571428571428572,35
88,88,Seems like a good mix of racial fairness and keeping a high number of people out of jail,1982.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$100,000 to $149,999",Option C,1,0,2,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.05555555555555555,18
89,89,"It seemed a equitable split in favoring the black population, who are more burdened, while not overly prejudicing the white population",1955.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999",Option D,1,0,1,0,0,0,0,1,0,0,0,0,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,21
90,90,White people are generally higher on SES. I am making an assumption that white people live closer to the court because they can afford to do so and may have the $20 needed. Also living closer to court makes it easier for them to get there.,1959.0,Woman,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999",Option E,1,0,0,2,0,0,0,0,0,0,0,0,0.0,0.043478260869565216,0.0,0.0,0.0,0.021739130434782608,46
91,91,"I didn't actually like any of the options as I think it should be need based, but barring that, I think 50/50 is inherently the fairest option.",1971.0,Man,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Option C,0,0,1,1,0,0,0,0,0,0,0,0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,27
92,92,Black people live farther from court,1954.0,Man,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999",Option C,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6
93,93,Because the cost for blacks is more expensive than whites,1972.0,Man,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$40,000 to $49,999",Option B,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,10
94,94,I chose it because it was balanced and a high amount of people avoid jail.,2002.0,Man,Black or African American,Democrat,"Some college, but no degree","$60,000 to $69,999",Option C,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,15
95,95,"I felt like it was an even distribution based on factors such as systemic racism, poverty, etc.",1984.0,Woman,Asian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999",Option C,0,0,0,0,0,0,0,1,0,0,0,0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,17
96,96,"While a large enough group of people will avoid jail with my choice, I would prefer a greater number of those farther away from the courthouse receive rides.",1972.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$50,000 to $59,999",Option D,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,28
