Pref. (White asc.),Pref. (White desc.),Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Race,Political aff.,Education,Income
,,Option E,,Racial discrimination makes it so this racial demographic needs more aid for the service.,1994.0,Man,Prefer not to say,Democrat,"Some college, but no degree",Prefer not to say
,,,Option C,I actually prefer the option that keeps more people out of jail.  But the avoid conflict with the residents I picked the option that represented the 50/50 population of the city,1961.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$50,000 to $59,999"
,,,Option C,It is the fairest distribution option,1983.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$150,000 or more"
,,,Option C,It seemed the most fair,2000.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999"
,,,Option D,The most people avoid jail.,1996.0,Woman,White or Caucasian,Independent,Bachelor’s degree,Prefer not to say
,,Option D,,It helped the most disadvantaged group while still avoiding prison time for a good number of people.,,Man,"White or Caucasian,Black or African American",Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,,Option B,Because it would cost more for a Black person to make a round trip ride to court. So the people that live further away should get the majority of the allotted money ,1972.0,Woman,White or Caucasian,Democrat,Associates or technical degree,"$20,000 to $29,999"
,,,Option B,Whites are cheaper and could walk if needed blacks cost more and don't have options to walk. ,1983.0,Woman,White or Caucasian,Republican,"Some college, but no degree","$50,000 to $59,999"
,,,Option B,"both races should have the same opportunities, however, since it's more expensive for the Black people, I think the percentage of help should be higher.",1965.0,Woman,White or Caucasian,Independent,"Some college, but no degree","$100,000 to $149,999"
,,,Option D,"I chose option D, because even though the money wasn't evenly distributed between white and black people, the results are the most people avoiding prison. ",1996.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$20,000 to $29,999"
,,Option C,,It's more evenly split,1989.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$90,000 to $99,999"
,,,Option C,I weighed the balance of distance vs. number of people who would avoid jail.,1969.0,Woman,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,,Option B,"Because it is more racially fair. If the city court demands that blacks from further away show up or go to jail, then more should be allocated towards them",1989.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$10,000 to $19,999"
,,Option B,,Because it would offer less jail time for the individuals and helps them to get to and from court.,1989.0,Man,American Indian/Native American or Alaska Native,No preference,High school diploma or GED,"$40,000 to $49,999"
,,,Option B,It provides more funding to the higher cost group but doesn't leave out the less costly group. ,1997.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$50,000 to $59,999"
,,Option D,,"I chose this scenario to benefit a more underserved population, but also trying to benefit others, as well.",1968.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$30,000 to $39,999"
,,Option B,,I chose Option B since it would help the most number of people avoid jail out of all the options.,1977.0,Woman,Asian,No preference,Bachelor’s degree,"$100,000 to $149,999"
,,Option D,,"I think it's the allocation that accounts for the price difference in rides the most - it helps Black people more because their rides are more expensive, but also helps white people a substantial amount.",1991.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$10,000 to $19,999"
,,,Option D,Less jail,1981.0,Man,White or Caucasian,No preference,Bachelor’s degree,"$90,000 to $99,999"
,,Option C,,I tried to be fair.,1988.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$10,000 to $19,999"
,,Option C,,Everyone should have an equal opportunity regardless of race.,1974.0,Man,White or Caucasian,Republican,"Some college, but no degree","$150,000 or more"
,,,Option C,"The prospect of going to jail is udevastating whether you live close to the courthouse or further away. Unless those living closer had alternative means of transportation, their needs should be considered equally; race not withstanding.",1948.0,Man,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
,,Option C,,"Giving 50% to each group seems like a fair way to allocate, given neither group is more or less deserving. It also results in a relatively high number of cases avoiding jail.",1964.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$100,000 to $149,999"
,,Option B,,It kept the most people out of jail.,1990.0,Man,White or Caucasian,Democrat,Associates or technical degree,"$80,000 to $89,999"
,,Option E,,Black people are further away ,1984.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$50,000 to $59,999"
,,Option B,,Less peeps in jail,1967.0,Man,White or Caucasian,Republican,Associates or technical degree,"$100,000 to $149,999"
,,Option C,,"Though a difference of 20 people is statistically similar, those are 20 extra, real people that would go to jail. However, I chose the option for 50/50 representation, resulting in 710 people avoiding jail rather than 30/70 preventing 730 people from going to jail, since the makeup of the people avoiding jail would be more evenly distributed.",1996.0,Man,Asian,Democrat,Bachelor’s degree,"$70,000 to $79,999"
,,,Option D,it had more people avoiding jail,1977.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$100,000 to $149,999"
,,Option C,,I picked the one that allowed equal amount of black and white people rides,1984.0,Man,Asian,Independent,Bachelor’s degree,"$30,000 to $39,999"
,,Option D,,I think black people need more help and are less likely to get a break from a judge than white people.,1974.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$90,000 to $99,999"
,,,Option A,I chose to help those who needed the help more.,1991.0,Woman,Black or African American,No preference,"Some college, but no degree","$50,000 to $59,999"
,,,Option B,I went off my gut feelings,2001.0,Man,White or Caucasian,Independent,Associates or technical degree,"$70,000 to $79,999"
,,Option B,,It is the route that helps the most people avoid jailtime.,1986.0,Woman,White or Caucasian,Democrat,High school diploma or GED,"$50,000 to $59,999"
,,,Option C,I just chose equal 50/50 because everything is so racial nowadays that this way one group can't say they were left out due to race,1966.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$70,000 to $79,999"
,,,Option C,I guessed,1996.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999"
,,Option C,,It's the most fair between races and is the second best option in terms of net people. I didn't want to pick the option that gave more money to white individuals because of the black community's history with excessive incarcaration.,1996.0,Non-binary,Asian,Democrat,Bachelor’s degree,"$90,000 to $99,999"
,,Option C,,The distribution is equal between white and black people,1980.0,Man,White or Caucasian,Independent,Associates or technical degree,"$60,000 to $69,999"
,,Option E,,Less jail time for people ,1986.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999"
,,Option D,,Because it's needed for who are typically farther from the courthouse,1999.0,Man,"White or Caucasian,Black or African American",Democrat,"Some college, but no degree","$10,000 to $19,999"
,,Option C,,"I felt like Blacks needed a larger allocation for it to be equitable due to the cost of the ride, but I wanted to also take into consideration the # of people freed. I picked C b/c it was a balance of both. I'm not sure I followed the logic of the how the allocation amt impacted the # freed though.",1975.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,Option D,,It seemed fair,1999.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999"
,,,Option C,It seems more even and more fair.,1998.0,Non-binary,White or Caucasian,Democrat,High school diploma or GED,"$20,000 to $29,999"
,,,Option C,It is the most fair without favoring one over the other and still provides a high amount of people that avoid jail.,1978.0,Woman,White or Caucasian,Democrat,High school diploma or GED,"Less than $10,000"
,,,Option C,It was the most even and close to the most amount of people avoiding jail. ,1983.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$70,000 to $79,999"
,,Option B,,Chose highest total avoiding jailtime,1965.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999"
,,Option B,,"It looked like that was the highest amount of people who would avoid jail. Now, I know there was less for the black population in terms of resources but I didn't have enough information to figure out questions I had. ",1969.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999"
,,Option C,,Managing people avoiding jail with socioeconomic status ,1998.0,Prefer not to say,Prefer not to say,Democrat,Prefer not to say,Prefer not to say
,,Option B,,It was the highest amount of people that would avoid jail time,1970.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$80,000 to $89,999"
,,Option C,,This will allow everyone to get to court fairly,1988.0,Man,Black or African American,Democrat,Bachelor’s degree,"$40,000 to $49,999"
,,Option C,,50/50 seemed fair and it got the second most people to avoid jail,1999.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$60,000 to $69,999"
,,Option B,,Becuase thats the one i think is the best choice ,1997.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$30,000 to $39,999"
,,,Option C,"Everyone is equal regardless of color, race, or beliefs.",1984.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$100,000 to $149,999"
,,,Option C,Both should be equAL,1977.0,Woman,Black or African American,Democrat,Bachelor’s degree,"$70,000 to $79,999"
,,Option D,,Because it costs more for black people I wanted to make sure they were allocated that extra amount to offset that,1998.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$80,000 to $89,999"
,,Option C,,The money is distributed evenly and prevents a large number of people from going to jail ,1968.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$150,000 or more"
,,,Option A,"I want as few people avoiding jail as possilbe.  Do the crime, do the time",1974.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$150,000 or more"
,,,Option C,Because unlike the judicial system it's equal,1979.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$50,000 to $59,999"
,,,Option C,"It seemed the most fair, with helping the most people but not being inequitable by favoring white people.",1984.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"Less than $10,000"
,,,Option B,Black people need more assistance ,1999.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999"
,,,Option C,"A 50-50 split seemed the fairest to me with the end result helping 710 people stay out of jail from both communities, which although wasn't the highest figure was close to the top. ",1973.0,Man,Asian,Democrat,Bachelor’s degree,"$90,000 to $99,999"
,,,Option B,"Black people have been the victims of systemic racism for far too long, so I chose the scenario that gave Black people the most help.",1983.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999"
,,,Option B,To give those who have to pay more additional assistance,1976.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$150,000 or more"
,,,Option B,"This was a tough choice.  Keeping maximal people out of jail is important, but there are systemic inequities that make it more likely for black people to need to go to court.  I opted for a choice that balances maximizing the total people kept jail-free, with my desire to redress inequities.",1963.0,Man,White or Caucasian,Independent,"Some college, but no degree","$20,000 to $29,999"
,,Option C,,"The option I chose was a compromise: it split the funds 50/50 which seemed somewhat fair, and prevented a fairly large number of people from going to jail.",1982.0,Woman,White or Caucasian,Democrat,"Some college, but no degree",Prefer not to say
,,Option C,,most that avoid jail time by showing up,1955.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$100,000 to $149,999"
,,,Option C,I believe it should be fair across the board no matter where you live ,1966.0,Woman,White or Caucasian,Republican,High school diploma or GED,"$150,000 or more"
,,Option D,,It was the obvious choice considering the information provided. Allocate more to people who need it more. ,1965.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999"
,,Option D,,It is more expensive to black people so I would allocate more funds for them. But white people also may need help to get to jail so I leece some funds for them as well ,1962.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999"
,,,Option C,Seems like a good mix of racial fairness and keeping a high number of people out of jail,1982.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$100,000 to $149,999"
,,,Option B,"It seemed a equitable split in favoring the black population, who are more burdened, while not overly prejudicing the white population",1955.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999"
,,Option E,,White people are generally higher on SES. I am making an assumption that white people live closer to the court because they can afford to do so and may have the $20 needed. Also living closer to court makes it easier for them to get there.,1959.0,Woman,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
,,Option C,,"I didn't actually like any of the options as I think it should be need based, but barring that, I think 50/50 is inherently the fairest option.",1971.0,Man,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,Option C,,Black people live farther from court,1954.0,Man,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
,,,Option D,Because the cost for blacks is more expensive than whites,1972.0,Man,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$40,000 to $49,999"
,,,Option C,I chose it because it was balanced and a high amount of people avoid jail.,2002.0,Man,Black or African American,Democrat,"Some college, but no degree","$60,000 to $69,999"
,,Option C,,"I felt like it was an even distribution based on factors such as systemic racism, poverty, etc.",1984.0,Woman,Asian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999"
,,Option D,,"While a large enough group of people will avoid jail with my choice, I would prefer a greater number of those farther away from the courthouse receive rides.",1972.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$50,000 to $59,999"
,,,Option D,I chose the option that allows the most people to avoid jail,1995.0,Man,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999"
,,Option C,,it seemed the fairest with getting the most people out of jail without favoring either side,1962.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$60,000 to $69,999"
,,Option E,,Minority groups are at a disadvantage. There are other scenarios and ways that help white people more disproportionately. I think it's more important for the money to help the disadvantaged in this scenario. They live further away and have a harder time traveling.,1983.0,Woman,White or Caucasian,Democrat,High school diploma or GED,"$20,000 to $29,999"
,,Option C,,It shouldn't even matter if the cost will increase for the city. It should be Equal PERIOD.,1999.0,Man,Black or African American,Democrat,High school diploma or GED,"$150,000 or more"
,,Option C,,it balances keeping a high number of people out of jail with racial equality ,1987.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$60,000 to $69,999"
,,,Option C,Results in an even distribution and the most people who benifit,1953.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$70,000 to $79,999"
,,Option B,,White people can be poor. This option helps the most people.,1956.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$20,000 to $29,999"
,,Option B,,Most people would avoid jail.,2002.0,Man,White or Caucasian,Independent,"Some college, but no degree","$100,000 to $149,999"
,,Option D,,"Since the Black population is already disadvantaged due to the fact that they live farther, it’s fair to give them greater priority and access to free rides",1966.0,Man,White or Caucasian,Republican,High school diploma or GED,"$30,000 to $39,999"
,,Option C,,"The funds are divided equally among the races, and an outcome had the 2nd highest amount of people avoid jail time. ",1995.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$50,000 to $59,999"
,,Option C,,Black people live farther and they already make a disproportionate number of people in jail,1953.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$150,000 or more"
,,Option B,,More people were helped with this choice.,1963.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$100,000 to $149,999"
,,Option C,,It is most fair with an equal split,1963.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$50,000 to $59,999"
,,,Option B,"Because Black people's cost is more than white people 3 white people is the same price as 2 black people, so you need to even it based on price not on quantity of people.",1997.0,Woman,Black or African American,Democrat,"Some college, but no degree","Less than $10,000"
,,,Option B,Blacks have more issues getting to the court house than white people,1969.0,Man,Black or African American,Democrat,High school diploma or GED,"$20,000 to $29,999"
,,Option C,,C was at the intersection of competing priorities: it balanced support to whites and blacks matching the local population ratio while also maximizing the total number of people supported.,1955.0,Man,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
,,,Option C,"Regardless of how much it cost for the ride, the people who need to arrive at the courthouse are black or white. It should not make a difference of the race or the cost, so I chose to distribute it evenly.",1962.0,Woman,American Indian/Native American or Alaska Native,Republican,Associates or technical degree,"$100,000 to $149,999"
,,Option C,,Everybody will get an equal chance to a free ride,1957.0,Woman,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$70,000 to $79,999"
,,,Option C,"The decision should be fair and divided, not favoring anyone.",1963.0,Man,White or Caucasian,Republican,"Some college, but no degree","$90,000 to $99,999"
,,Option D,,because black people live farther away and have less resources to spend on rides. Some white people might stay pretty close to the courthouse and may be able to walk,1973.0,Woman,Asian,Independent,Bachelor’s degree,"$150,000 or more"
,,Option E,,"I chose that option because while on the one hand I would prefer to be totally egalitarian, it is fact that black people face systemic injustice much more often than those who are white and are afford certain privelages. So I made the choice that helped the most black people. ",1985.0,Non-binary,American Indian/Native American or Alaska Native,Other,"Some college, but no degree","Less than $10,000"
,,,Option D,Because this option would keep more people out of jail.,1960.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$100,000 to $149,999"
,,Option D,,black people are poorer and arrested more often,1957.0,Woman,Black or African American,Democrat,"Some college, but no degree","$30,000 to $39,999"
,,Option C,,it was an even 50/50 split,1959.0,Man,White or Caucasian,Independent,High school diploma or GED,"$10,000 to $19,999"
,,Option C,,"I was thinking about going 70-30 Black white, but then I looked at the numbers of people avoiding jail, which was quite a bit more in the 50-50 split.  So I took that. ",1950.0,Man,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$60,000 to $69,999"
,,,Option C,Equal amount of white and black people. ,2001.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$100,000 to $149,999"
,,,Option C,It gives an even chance for both groups to receive assistance,1956.0,Man,White or Caucasian,Independent,"Some college, but no degree","$30,000 to $39,999"
,,Option D,,"The majority of the money should go to help those furthest from the courthouse, but this studies definition, the black residents. I didn't selection option E because there are many poor white people as well. So option D seemed to be the most equitable distribution.",1964.0,Woman,White or Caucasian,Other,Bachelor’s degree,"$20,000 to $29,999"
,,,Option B,when you way out all the number it is the most even split,1958.0,Man,White or Caucasian,Republican,High school diploma or GED,"$90,000 to $99,999"
,,,Option C,It is equally divided between black and white.,1962.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999"
,,,Option B,"I honestly would prefer option A, but option B would maybe make less white people complain about discrimination or the like.  It's just a small concession.  Dividing it up equally between populations seemed unfair to the population that normally experiences discrimination.",1970.0,Woman,"White or Caucasian,American Indian/Native American or Alaska Native",No preference,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$70,000 to $79,999"
,,Option C,,It seems the fairest one .  ,1952.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$20,000 to $29,999"
,,Option D,,"Blacks pay more for a ride, so assistance should be distributed to overcome that difference. Otherwise blacks will have more difficulty getting to court. ",1953.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$100,000 to $149,999"
,,,Option A,I would allocate as many resources to the black community as I possibly could. Black people in this country have had to endure and continue to endure so much institutionalized racism that anything we can do to try to level the playing field is long overdue. ,1963.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$70,000 to $79,999"
,,,Option D,This scenario keeps more people out of jail,1945.0,Man,White or Caucasian,Republican,Bachelor’s degree,"$30,000 to $39,999"
,,Option C,,Option C seems to be the most racially democratic option given the choices.,1956.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$10,000 to $19,999"
,,,Option C,It is the only fair solution.,1959.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$100,000 to $149,999"
,,Option C,,Equal number avoid jail,1954.0,Woman,White or Caucasian,Independent,"Some college, but no degree","$40,000 to $49,999"
,,,Option C,fairest solution,1957.0,Woman,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,,Option B,I chose option B because I believe that the majority of the people who would end up in jail would be Black so I tried to choose an option that was fair to Whites and still be able to prevent a substantial amount of black people from going to jail.,1964.0,Woman,Black or African American,Democrat,Bachelor’s degree,"$10,000 to $19,999"
,,Option D,,I wanted to be more fair to the Black citizens who typically have a harder time securing rides to court.,1951.0,Woman,White or Caucasian,Independent,High school diploma or GED,"$10,000 to $19,999"
,,Option D,,To be fair,1961.0,Woman,Asian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$80,000 to $89,999"
,,Option E,,"Black people have a harder time getting to the court house, and blacks are likely to be sentenced to jail. ",1949.0,Woman,White or Caucasian,Democrat,Associates or technical degree,"$150,000 or more"
,,Option B,,It is more important for people to not go to jail if they do not belong there so I went with the highest percentage of people who do not go to jail. It feels fairer to me.,1958.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$50,000 to $59,999"
,,Option B,,It was the option that the largest amount of people avoided going to jail.,1958.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$60,000 to $69,999"
,,Option E,,"I chose that allocation scenario because, the Black people live farther away from the court than the White people. ",1955.0,Woman,Black or African American,No preference,Associates or technical degree,"$30,000 to $39,999"
,,,Option B,I chose 70 for black pop. and 30 for white pop as this seems fair.,1947.0,Woman,Black or African American,Democrat,Associates or technical degree,"$40,000 to $49,999"
,,,Option B,Because it's a number that comes closer to reflecting  what the percentages are between races and the need to get to court.,1959.0,Man,Asian,Republican,Associates or technical degree,"$70,000 to $79,999"
